ID,Dag,Maand,Jaar,Tijd,Plaats,Buurt,Straat,Poging,Opgelost
2012405668-2,11,7,2012,22,ROTTERDAM,4-'S GRAVENLAND,RINGVAARTWEG,N,N
2012407253-1,11,7,2012,11,ROTTERDAM,9-GROOT IJSSELMONDE,MOERBEITUIN,N,N
2012408255-1,11,7,2012,21,ROTTERDAM,7-PENDRECHT,MIDDELHARNISSTRAAT,N,N
2012405786-1,12,7,2012,5,ROTTERDAM,2-HILLESLUIS,PUTSELAAN,N,N
2012406674-1,12,7,2012,16,ROTTERDAM,4-NIEUWE WESTEN,VIERAMBACHTSSTRAAT,J,N
2012406752-1,12,7,2012,19,ROTTERDAM,4-OUD CHARLOIS,PLEIN 1953,N,J
2012406944-1,13,7,2012,24,ROTTERDAM,2-COOL,LIJNBAAN,N,N
2012406974-1,13,7,2012,24,ROTTERDAM,2-COOL,LIJNBAAN,J,N
2012407030-1,13,7,2012,5,ROTTERDAM,0-STADSDRIEHOEK,HOFPLEIN,N,J
2012407051-1,13,7,2012,5,ROTTERDAM,2-COOL,COOLSINGEL,N,N
2012407353-1,13,7,2012,4,ROTTERDAM,5-MIDDELLAND,'S-GRAVENDIJKWAL,N,N
2012407365-1,13,7,2012,12,ROTTERDAM,3-ZUIDWIJK,SLINGE,N,J
2012407527-1,13,7,2012,13,ROTTERDAM,3-OUD IJSSELMONDE,KORTE STADIONWEG,N,N
2012407970-1,13,7,2012,23,ROTTERDAM,2-COOL,SCHOUWBURGPLEIN,N,J
2012408613-1,13,7,2012,16,ROTTERDAM,3-OMMOORD,PRINS ALEXANDERLAAN,N,N
2012410188-1,13,7,2012,11,ROTTERDAM,4-NIEUWE WESTEN,VAN HEUSDESTRAAT,N,N
2012408205-1,14,7,2012,3,RHOON,1-NOORD,STATIONSSTRAAT,N,N
2012408218-1,14,7,2012,3,RHOON,1-NOORD,STATIONSSTRAAT,N,N
2012408684-1,14,7,2012,19,ROTTERDAM,9-DIJKZIGT,COOLHAVEN,N,N
2012409324-1,15,7,2012,4,VLAARDINGEN,1-VETTENOORDSE POLDER,MARNIXLAAN,N,N
2012410573-1,16,7,2012,17,SCHIEDAM,8-S-GRAVEL./SPAANSE POLDE,OVERSCHIESEWEG,N,N
2012411105-1,16,7,2012,15,SPIJKENISSE,6-VRIESLAND,BORSTELGRAS,J,N
2012412829-1,18,7,2012,20,ROTTERDAM,2-COOL,SCHOUWBURGPLEIN,N,N
