ID,Datu,m,,Dagsoort,Begintijd,Eindtijd,Plaats,District,Wijk,Buurt,Subbuurt,Straat,Postcode,Poging,Opgelost,SOGeslacht
2012434438-1,4,07,2012,WO,22:30,23:00,ROTTERDAM,DISTRICT 5,5-May,8-BLIJDORPSE POLDER,1-1,ROEL LANGERAKPARK (PARK),,J,J,m
2012398604-1,5,07,2012,DO,10:50,10:50,ROTTERDAM,DISTRICT 5,3-Mar,2-BLIJDORP,5-5,VAN AERSSENLAAN,,N,N,m
2012399287-1,5,07,2012,DO,21:10,21:15,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,3-3,PRINSENPLEIN,3078GW,N,N,m
2012400163-1,6,07,2012,VR,20:13,20:13,ROTTERDAM,DISTRICT 5,3-Mar,5-OUDE NOORDEN,5-5,ZWART JANSTRAAT,,N,N,v
2012400408-1,6,07,2012,VR,20:00,0:45,ROTTERDAM,DISTRICT 6,6-Jun,7-OOSTERFLANK,0-0,WATERMANWEG,3067GA,N,J,m
2012400774-1,6,07,2012,VR,21:30,21:30,ROTTERDAM,DISTRICT 3,2-Feb,5-MIDDELLAND,3-3,SCHIETBAANLAAN,3021LP,N,N,m
2012401408-1,7,07,2012,ZA,22:30,22:35,ROTTERDAM,DISTRICT 10,7-Jul,7-PENDRECHT,6-6,RILLAND BATHSTRAAT,,N,N,m
2012406643-1,7,07,2012,ZA,5:00,5:00,SPIJKENISSE,DISTRICT 11,7-AKKERS/VRIESL./VOGELENZ,7-VOGELENZANG-ZUID,8-PC 8,VOGELENZANGLAAN,3208AT,N,N,v
2012408375-1,7,07,2012,ZA,15:00,16:30,ROTTERDAM,DISTRICT 10,7-Jul,2-CARNISSE,0-0,PLEINWEG,3083EW,N,N,v
2012401354-1,8,07,2012,ZO,2:34,2:34,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,8-8,HEEMRAADSPLEIN,,N,J,m
2012401415-1,8,07,2012,ZO,1:12,1:12,ROTTERDAM,DISTRICT 9,8-Aug,9-GROOT IJSSELMONDE,2-2,KROMME HAGEN,3078AP,N,N,m
2012401607-1,8,07,2012,ZO,1:00,1:00,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,4-4,MATHENESSERPLEIN,3023LA,N,N,v
2012401923-1,8,07,2012,ZO,18:00,18:30,ROTTERDAM,DISTRICT 9,8-Aug,1-BLOEMHOF,8-8,HILLEVLIET,3073KR,N,N,m
2012403224-1,8,07,2012,ZO,13:20,13:20,ROTTERDAM,DISTRICT 3,2-Feb,3-SPANGEN,3-3,MATHENESSERDIJK,3027BM,J,N,v
